DateTime, Sensor, Temperature (Celcius), Relative Humidity (%), Pressure (hPa), Light (lx)
2018-02-15 00:00:04 +0800, BME280|BH1750FVI, 17.64, 75.26, 1016.442, 54612
2018-02-15 00:00:11 +0800, BME280|BH1750FVI, 17.63, 75.12, 1016.416, 54612
2018-02-15 00:00:18 +0800, BME280|BH1750FVI, 17.61, 75.12, 1016.400, 54612
2018-02-15 00:00:25 +0800, BME280|BH1750FVI, 17.59, 75.31, 1016.420, 54612
2018-02-15 00:00:33 +0800, BME280|BH1750FVI, 17.58, 75.31, 1016.426, 54612
2018-02-15 00:00:40 +0800, BME280|BH1750FVI, 17.59, 75.33, 1016.413, 54612
2018-02-15 00:00:47 +0800, BME280|BH1750FVI, 17.60, 75.39, 1016.410, 54612
2018-02-15 00:00:54 +0800, BME280|BH1750FVI, 17.61, 75.40, 1016.440, 54612
2018-02-15 00:01:01 +0800, BME280|BH1750FVI, 17.62, 75.25, 1016.427, 54612
2018-02-15 00:01:08 +0800, BME280|BH1750FVI, 17.63, 75.12, 1016.438, 54612
2018-02-15 00:01:15 +0800, BME280|BH1750FVI, 17.62, 75.13, 1016.417, 54612
2018-02-15 00:01:22 +0800, BME280|BH1750FVI, 17.61, 75.12, 1016.436, 54612
2018-02-15 00:01:29 +0800, BME280|BH1750FVI, 17.62, 75.08, 1016.412, 54612
2018-02-15 00:01:37 +0800, BME280|BH1750FVI, 17.60, 75.04, 1016.403, 54612
2018-02-15 00:01:44 +0800, BME280|BH1750FVI, 17.59, 75.10, 1016.400, 54612
2018-02-15 00:01:51 +0800, BME280|BH1750FVI, 17.58, 75.07, 1016.402, 54612
2018-02-15 00:01:58 +0800, BME280|BH1750FVI, 17.56, 74.95, 1016.411, 54612
2018-02-15 00:02:05 +0800, BME280|BH1750FVI, 17.54, 75.03, 1016.375, 54612
2018-02-15 00:02:12 +0800, BME280|BH1750FVI, 17.53, 75.50, 1016.358, 54612
2018-02-15 00:02:19 +0800, BME280|BH1750FVI, 17.52, 75.44, 1016.403, 54612
2018-02-15 00:02:27 +0800, BME280|BH1750FVI, 17.51, 75.37, 1016.371, 54612
2018-02-15 00:02:34 +0800, BME280|BH1750FVI, 17.49, 75.32, 1016.351, 54612
2018-02-15 00:02:41 +0800, BME280|BH1750FVI, 17.48, 75.63, 1016.359, 54612
2018-02-15 00:02:48 +0800, BME280|BH1750FVI, 17.48, 75.96, 1016.397, 54612
2018-02-15 00:02:55 +0800, BME280|BH1750FVI, 17.46, 75.77, 1016.380, 54612
2018-02-15 00:03:02 +0800, BME280|BH1750FVI, 17.43, 75.94, 1016.384, 54612
2018-02-15 00:03:10 +0800, BME280|BH1750FVI, 17.40, 75.75, 1016.370, 54612
2018-02-15 00:03:17 +0800, BME280|BH1750FVI, 17.38, 75.78, 1016.412, 54612
2018-02-15 00:03:24 +0800, BME280|BH1750FVI, 17.37, 76.10, 1016.337, 54612
2018-02-15 00:03:31 +0800, BME280|BH1750FVI, 17.37, 76.12, 1016.399, 54612
2018-02-15 00:03:38 +0800, BME280|BH1750FVI, 17.35, 76.12, 1016.343, 54612
2018-02-15 00:03:45 +0800, BME280|BH1750FVI, 17.35, 76.15, 1016.369, 54612
2018-02-15 00:03:52 +0800, BME280|BH1750FVI, 17.37, 76.25, 1016.318, 54612
2018-02-15 00:03:59 +0800, BME280|BH1750FVI, 17.39, 76.06, 1016.331, 54612
2018-02-15 00:04:07 +0800, BME280|BH1750FVI, 17.41, 75.97, 1016.331, 54612
2018-02-15 00:04:14 +0800, BME280|BH1750FVI, 17.44, 75.99, 1016.355, 54612
2018-02-15 00:04:21 +0800, BME280|BH1750FVI, 17.46, 75.85, 1016.307, 54612
2018-02-15 00:04:28 +0800, BME280|BH1750FVI, 17.47, 75.78, 1016.322, 54612
2018-02-15 00:04:35 +0800, BME280|BH1750FVI, 17.49, 76.27, 1016.339, 54612
2018-02-15 00:04:42 +0800, BME280|BH1750FVI, 17.51, 75.99, 1016.358, 54612
2018-02-15 00:04:49 +0800, BME280|BH1750FVI, 17.52, 75.89, 1016.342, 54612
2018-02-15 00:04:57 +0800, BME280|BH1750FVI, 17.55, 75.88, 1016.368, 54612
2018-02-15 00:05:04 +0800, BME280|BH1750FVI, 17.57, 76.43, 1016.337, 54612
2018-02-15 00:05:11 +0800, BME280|BH1750FVI, 17.60, 75.84, 1016.347, 54612
2018-02-15 00:05:18 +0800, BME280|BH1750FVI, 17.58, 75.58, 1016.316, 54612
2018-02-15 00:05:25 +0800, BME280|BH1750FVI, 17.58, 75.63, 1016.327, 54612
2018-02-15 00:05:32 +0800, BME280|BH1750FVI, 17.60, 75.98, 1016.349, 54612
2018-02-15 00:05:39 +0800, BME280|BH1750FVI, 17.59, 75.77, 1016.343, 54612
2018-02-15 00:05:46 +0800, BME280|BH1750FVI, 17.57, 75.43, 1016.365, 54612
2018-02-15 00:05:57 +0800, BME280|BH1750FVI, 17.53, 75.68, 1016.348, 54612
2018-02-15 00:06:04 +0800, BME280|BH1750FVI, 17.50, 75.77, 1016.327, 54612
2018-02-15 00:06:11 +0800, BME280|BH1750FVI, 17.49, 76.21, 1016.338, 54612
2018-02-15 00:06:19 +0800, BME280|BH1750FVI, 17.50, 75.99, 1016.329, 54612
2018-02-15 00:06:26 +0800, BME280|BH1750FVI, 17.51, 75.83, 1016.370, 54612
2018-02-15 00:06:33 +0800, BME280|BH1750FVI, 17.53, 76.09, 1016.355, 54612
2018-02-15 00:06:40 +0800, BME280|BH1750FVI, 17.56, 76.28, 1016.351, 54612
2018-02-15 00:06:47 +0800, BME280|BH1750FVI, 17.59, 75.82, 1016.357, 54612
2018-02-15 00:06:54 +0800, BME280|BH1750FVI, 17.61, 75.70, 1016.342, 54612
2018-02-15 00:07:01 +0800, BME280|BH1750FVI, 17.62, 75.54, 1016.366, 54612
2018-02-15 00:07:09 +0800, BME280|BH1750FVI, 17.63, 75.51, 1016.356, 54612
2018-02-15 00:07:16 +0800, BME280|BH1750FVI, 17.64, 75.53, 1016.348, 54612
2018-02-15 00:07:23 +0800, BME280|BH1750FVI, 17.67, 75.48, 1016.348, 54612
2018-02-15 00:07:30 +0800, BME280|BH1750FVI, 17.69, 75.35, 1016.361, 54612
2018-02-15 00:07:37 +0800, BME280|BH1750FVI, 17.69, 75.32, 1016.364, 54612
2018-02-15 00:07:44 +0800, BME280|BH1750FVI, 17.70, 75.29, 1016.355, 54612
2018-02-15 00:07:51 +0800, BME280|BH1750FVI, 17.70, 75.27, 1016.362, 54612
2018-02-15 00:07:58 +0800, BME280|BH1750FVI, 17.72, 75.26, 1016.353, 54612
2018-02-15 00:08:06 +0800, BME280|BH1750FVI, 17.72, 75.17, 1016.355, 54612
2018-02-15 00:08:13 +0800, BME280|BH1750FVI, 17.72, 75.19, 1016.357, 54612
2018-02-15 00:08:20 +0800, BME280|BH1750FVI, 17.73, 75.12, 1016.345, 54612
2018-02-15 00:08:27 +0800, BME280|BH1750FVI, 17.74, 75.19, 1016.366, 54612
2018-02-15 00:08:34 +0800, BME280|BH1750FVI, 17.75, 74.98, 1016.380, 54612
2018-02-15 00:08:41 +0800, BME280|BH1750FVI, 17.75, 75.02, 1016.386, 54612
2018-02-15 00:08:48 +0800, BME280|BH1750FVI, 17.77, 74.99, 1016.345, 54612
2018-02-15 00:08:56 +0800, BME280|BH1750FVI, 17.77, 74.94, 1016.377, 54612
2018-02-15 00:09:03 +0800, BME280|BH1750FVI, 17.79, 74.92, 1016.358, 54612
2018-02-15 00:09:10 +0800, BME280|BH1750FVI, 17.82, 74.92, 1016.361, 54612
2018-02-15 00:09:17 +0800, BME280|BH1750FVI, 17.83, 74.65, 1016.354, 54612
2018-02-15 00:09:24 +0800, BME280|BH1750FVI, 17.84, 74.67, 1016.391, 54612
2018-02-15 00:09:31 +0800, BME280|BH1750FVI, 17.84, 74.55, 1016.391, 54612
