DateTime, Sensor, Temperature (Celcius), Relative Humidity (%), Pressure (hPa), Light (lx)
2018-04-20 00:00:06 +0800, BME280|BH1750FVI, 23.01, 83.13, 1014.45, 0
2018-04-20 00:00:15 +0800, BME280|BH1750FVI, 23.02, 83.07, 1014.40, 0
2018-04-20 00:00:22 +0800, BME280|BH1750FVI, 23.04, 83.03, 1014.42, 0
2018-04-20 00:00:29 +0800, BME280|BH1750FVI, 23.06, 82.90, 1014.41, 0
2018-04-20 00:00:36 +0800, BME280|BH1750FVI, 23.07, 82.81, 1014.44, 0
2018-04-20 00:00:43 +0800, BME280|BH1750FVI, 23.08, 82.75, 1014.42, 0
2018-04-20 00:00:52 +0800, BME280|BH1750FVI, 23.07, 82.78, 1014.44, 0
2018-04-20 00:00:59 +0800, BME280|BH1750FVI, 23.06, 82.85, 1014.44, 0
2018-04-20 00:01:06 +0800, BME280|BH1750FVI, 23.06, 82.90, 1014.44, 0
2018-04-20 00:01:13 +0800, BME280|BH1750FVI, 23.07, 82.86, 1014.42, 0
2018-04-20 00:01:20 +0800, BME280|BH1750FVI, 23.07, 82.80, 1014.44, 0
2018-04-20 00:01:27 +0800, BME280|BH1750FVI, 23.08, 82.81, 1014.40, 0
2018-04-20 00:01:35 +0800, BME280|BH1750FVI, 23.09, 82.71, 1014.40, 0
2018-04-20 00:01:42 +0800, BME280|BH1750FVI, 23.10, 82.55, 1014.42, 0
2018-04-20 00:01:49 +0800, BME280|BH1750FVI, 23.09, 82.51, 1014.39, 0
2018-04-20 00:01:56 +0800, BME280|BH1750FVI, 23.09, 82.53, 1014.42, 0
2018-04-20 00:02:03 +0800, BME280|BH1750FVI, 23.08, 82.56, 1014.40, 0
2018-04-20 00:02:12 +0800, BME280|BH1750FVI, 23.06, 82.65, 1014.42, 0
2018-04-20 00:02:19 +0800, BME280|BH1750FVI, 23.04, 82.73, 1014.41, 0
2018-04-20 00:02:26 +0800, BME280|BH1750FVI, 23.03, 82.81, 1014.42, 0
2018-04-20 00:02:33 +0800, BME280|BH1750FVI, 23.03, 82.86, 1014.44, 0
2018-04-20 00:02:40 +0800, BME280|BH1750FVI, 23.03, 82.86, 1014.42, 0
2018-04-20 00:02:47 +0800, BME280|BH1750FVI, 23.03, 82.85, 1014.41, 0
2018-04-20 00:02:55 +0800, BME280|BH1750FVI, 23.01, 82.90, 1014.40, 0
2018-04-20 00:03:02 +0800, BME280|BH1750FVI, 23.02, 82.92, 1014.37, 0
2018-04-20 00:03:09 +0800, BME280|BH1750FVI, 23.02, 82.89, 1014.37, 0
2018-04-20 00:03:16 +0800, BME280|BH1750FVI, 23.02, 82.89, 1014.37, 0
2018-04-20 00:03:23 +0800, BME280|BH1750FVI, 23.04, 82.82, 1014.39, 0
